,trip_cat,num_rides,neighbourhood
0,0,866957,upper_manhattan
1,1,988619,upper_manhattan
2,2,510123,upper_manhattan
3,3,223085,upper_manhattan
4,4,109458,upper_manhattan
5,5,62882,upper_manhattan
6,6,42166,upper_manhattan
7,7,31628,upper_manhattan
8,8,24556,upper_manhattan
9,9,16487,upper_manhattan
10,10,10127,upper_manhattan
11,11,5313,upper_manhattan
12,12,2789,upper_manhattan
13,13,1963,upper_manhattan
14,14,1530,upper_manhattan
15,15,1126,upper_manhattan
16,16,1596,upper_manhattan
17,17,2481,upper_manhattan
18,18,4533,upper_manhattan
19,19,4568,upper_manhattan
20,20,2883,upper_manhattan
21,21,1217,upper_manhattan
22,22,312,upper_manhattan
23,23,127,upper_manhattan
24,24,71,upper_manhattan
25,25,382,upper_manhattan
26,0,568958,lower_manhattan
27,1,734115,lower_manhattan
28,2,411273,lower_manhattan
29,3,268368,lower_manhattan
30,4,181388,lower_manhattan
31,5,112412,lower_manhattan
32,6,67201,lower_manhattan
33,7,36378,lower_manhattan
34,8,22174,lower_manhattan
35,9,17539,lower_manhattan
36,10,14082,lower_manhattan
37,11,9593,lower_manhattan
38,12,6986,lower_manhattan
39,13,5945,lower_manhattan
40,14,4394,lower_manhattan
41,15,4073,lower_manhattan
42,16,3364,lower_manhattan
43,17,4926,lower_manhattan
44,18,3800,lower_manhattan
45,19,2185,lower_manhattan
46,20,1434,lower_manhattan
47,21,883,lower_manhattan
48,22,332,lower_manhattan
49,23,251,lower_manhattan
50,24,194,lower_manhattan
51,25,1329,lower_manhattan
52,0,24637,Downtown_Bk
53,1,31602,Downtown_Bk
54,2,22369,Downtown_Bk
55,3,17870,Downtown_Bk
56,4,11942,Downtown_Bk
57,5,8544,Downtown_Bk
58,6,6867,Downtown_Bk
59,7,5270,Downtown_Bk
60,8,3126,Downtown_Bk
61,9,2089,Downtown_Bk
62,10,1639,Downtown_Bk
63,11,1046,Downtown_Bk
64,12,814,Downtown_Bk
65,13,464,Downtown_Bk
66,14,267,Downtown_Bk
67,15,249,Downtown_Bk
68,16,174,Downtown_Bk
69,17,315,Downtown_Bk
70,18,340,Downtown_Bk
71,19,183,Downtown_Bk
72,20,81,Downtown_Bk
73,21,51,Downtown_Bk
74,22,28,Downtown_Bk
75,23,15,Downtown_Bk
76,24,16,Downtown_Bk
77,25,118,Downtown_Bk
78,0,572,Bayridge_bk
79,1,689,Bayridge_bk
80,2,412,Bayridge_bk
81,3,281,Bayridge_bk
82,4,214,Bayridge_bk
83,5,160,Bayridge_bk
84,6,129,Bayridge_bk
85,7,136,Bayridge_bk
86,8,107,Bayridge_bk
87,9,99,Bayridge_bk
88,10,84,Bayridge_bk
89,11,54,Bayridge_bk
90,12,43,Bayridge_bk
91,13,28,Bayridge_bk
92,14,25,Bayridge_bk
93,15,18,Bayridge_bk
94,16,13,Bayridge_bk
95,17,9,Bayridge_bk
96,18,3,Bayridge_bk
97,19,9,Bayridge_bk
98,20,8,Bayridge_bk
99,21,7,Bayridge_bk
100,22,4,Bayridge_bk
101,23,6,Bayridge_bk
102,24,0,Bayridge_bk
103,25,4,Bayridge_bk
